toki pona,漢字,Mandarin pinyin
a,阿,ā
akesi,龍,lóng
ala,不,bù
alasa,集,jí
ale / ali,全,quán
anpa,下,xià
ante,異,yì
anu,或,huò
awen,待,dài
e,兮,xī
en,與,yǔ
esun,市,shì
ijo,物,wù
ike,惡,è
ilo,具,jù
insa,內,nèi
jaki,汚,wū
jan,人,rén
jelo,黃,huáng
jo,有,yǒu
kala,魚,yú
kalama,音,yīn
kama,來,lái
kasi,草,cǎo
ken,能,néng
kepeken,用,yòng
kili,果,guǒ
kiwen,石,shí
ko,膏,gāo
kon,氣,qì
kule,色,sè
kulupu,群,qún
kute,耳,ěr
la,羅,luó
lape,眠,mián
laso,靑,qīng
lawa,首,shǒu
len,布,bù
lete,冷,lěng
li,利,lì
lili,小,xiǎo
linja,糸,mì
lipu,葉,yè
loje,赤,chì
lon,在,zài
luka,手,shǒu
lukin,見,jiàn
lupa,孔,kǒng
ma,土,tǔ
mama,母,mǔ
mani,貝,bèi
meli,女,nǚ
mi,我,wǒ
mije,男,nán
moku,食,shí
moli,死,sǐ
monsi,後,hòu
mu,牟,móu
mun,月,yuè
musi,樂,lè
mute,多,duō
nanpa,第,dì
nasa,奇,qí
nasin,道,dào
nena,山,shān
ni,此,cǐ
nimi,名,míng
noka,足,zú
o,嗚,wū
olin,愛,ài
ona,彼,bǐ
open,開,kāi
pakala,破,pò
pali,作,zuò
palisa,枝,zhī
pan,米,mǐ
pana,授,shòu
pi,之,zhī
pilin,心,xīn
pimeja,黑,hēi
pini,終,zhōng
pipi,虫,chóng
poka,旁,páng
poki,箱,xiāng
pona,良,liáng
pu,樸,pǔ
sama,同,tóng
seli,火,huǒ
selo,皮,pí
seme,何,hé
sewi,上,shàng
sijelo,身,shēn
sike,圓,yuán
sin,新,xīn
sina,汝,rǔ
sinpin,前,qián
sitelen,畵,huà
sona,知,zhī
soweli,獸,shòu
suli,大,dà
suno,日,rì
supa,丌,jī
suwi,甘,gān
tan,由,yóu
taso,只,zhǐ
tawa,去,qù
telo,水,shuǐ
tenpo,時,shí
toki,言,yán
tomo,家,jiā
tu,二,èr
unpa,性,xìng
uta,口,kǒu
utala,戰,zhàn
walo,白,bái
wan,一,yī
waso,鳥,niǎo
wawa,力,lì
weka,脫,tuō
wile,要,yào
kin,又,yòu
namako,鹽,yán
oko,目,mù
epiku,傳,chuán
jasima,反,fǎn
kijetesantakalu,鼬,yòu
kipisi,分,fēn
kokosila,鱷,è
ku,叴,qiú
lanpan,盜,dào
leko,甓,pì
meso,中,zhōng
misikeke,藥,yào
monsuta,鬼,guǐ
n,諾,nuò
soko,蕈,xùn
tonsi,志,zhì
