toki pona,sitelen Kanpun 漢字,sitelen Kanpun Mandarin pinyin,ひらがな,カタカナ
a,阿,ā,あ,ア
akesi,龍,lóng,あけし,アケシ
ala,不,bù=不,あら,アラ
alasa,集,jí,あらさ,アラサ
ale,全,quán,あれ / あり,アレ / アリ
anpa,下,xià,あんぱ,アンパ
ante,異,yì,あんて,アンテ
anu,或,huò,あぬ,アヌ
awen,待,dài,あうぇん,アウェン
e,兮,xī,え,エ
en,與,yǔ,えん,エン
esun,市,shì,えすん,エスン
ijo,物,wù,いよ,イヨ
ike,惡,è=惡,いけ,イケ
ilo,具,jù,いろ,イロ
insa,內,nèi,いんさ,インサ
jaki,汚,wū=汚,やき,ヤキ
jan,人,rén,やん,ヤン
jelo,黃,huáng,いぇろ,イェロ
jo,有,yǒu,よ,ヨ
kala,魚,yú,から,カラ
kalama,音,yīn,からま,カラマ
kama,來,lái,かま,カマ
kasi,草,cǎo,かし,カシ
ken,能,néng,けん,ケン
kepeken,用,yòng,けぺけん,ケペケン
kili,果,guǒ,きり,キリ
kiwen,石,shí=石,きうぇん,キウェン
ko,膏,gāo,こ,コ
kon,氣,qì,こん,コン
kule,色,sè,くれ,クレ
kulupu,群,qún,くるぷ,クルプ
kute,耳,ěr,くて,クテ
la,羅,luó,ら,ラ
lape,眠,mián,らぺ,ラペ
laso,靑,qīng,らそ,ラソ
lawa,首,shǒu=首,らわ,ラワ
len,布,bù=布,れん,レン
lete,冷,lěng,れて,レテ
li,利,lì=利,り,リ
lili,小,xiǎo,りり,リリ
linja,糸,mì,りんや,リンヤ
lipu,葉,yè,りぷ,リプ
loje,赤,chì,ろいぇ,ロイェ
lon,在,zài,ろん,ロン
luka,手,shǒu=手,るか,ルカ
lukin,見,jiàn,るきん,ルキン
lupa,孔,kǒng,るぱ,ルパ
ma,土,tǔ,ま,マ
mama,母,mǔ,まま,ママ
mani,貝,bèi,まに,マニ
meli,女,nǚ,めり,メリ
mi,我,wǒ,み,ミ
mije,男,nán,みいぇ,ミイェ
moku,食,shí=食,もく,モク
moli,死,sǐ,もり,モリ
monsi,後,hòu,もんし,モンシ
mu,牟,móu,む,ム
mun,月,yuè,むん,ムン
musi,樂,lè,むし,ムシ
mute,多,duō,むて,ムテ
nanpa,第,dì,なんぱ,ナンパ
nasa,奇,qí,なさ,ナサ
nasin,道,dào=道,なしん,ナシン
nena,山,shān,ねな,ネナ
ni,此,cǐ,に,ニ
nimi,名,míng,にみ,ニミ
noka,足,zú,のか,ノカ
o,嗚,wū=嗚,お,オ
olin,愛,ài,おりん,オリン
ona,彼,bǐ,おな,オナ
open,開,kāi,おぺん,オペン
pakala,破,pò,ぱから,パカラ
pali,作,zuò,ぱり,パリ
palisa,枝,zhī=枝,ぱりさ,パリサ
pan,米,mǐ,ぱん,パン
pana,授,shòu=授,ぱな,パナ
pi,之,zhī=之,ぴ,ピ
pilin,心,xīn=心,ぴりん,ピリン
pimeja,黑,hēi,ぴめや,ピメヤ
pini,終,zhōng=終,ぴに,ピニ
pipi,虫,chóng,ぴぴ,ピピ
poka,旁,páng,ぽか,ポカ
poki,箱,xiāng,ぽき,ポキ
pona,良,liáng,ぽな,ポナ
pu,樸,pǔ,ぷ,プ
sama,同,tóng,さま,サマ
seli,火,huǒ,せり,セリ
selo,皮,pí,せろ,セロ
seme,何,hé,せめ,セメ
sewi,上,shàng,せうぃ,セウィ
sijelo,身,shēn,しいぇろ,シイェロ
sike,圓,yuán,しけ,シケ
sin,新,xīn=新,しん,シン
sina,汝,rǔ,しな,シナ
sinpin,前,qián,しんぴん,シンピン
sitelen,畵,huà,してれん,シテレン
sona,知,zhī=知,そな,ソナ
soweli,獸,shòu=獸,そうぇり,ソウェリ
suli,大,dà,すり,スリ
suno,日,rì,すの,スノ
supa,丌,jī,すぱ,スパ
suwi,甘,gān,すうぃ,スウィ
tan,由,yóu,たん,タン
taso,只,zhǐ,たそ,タソ
tawa,去,qù,たわ,タワ
telo,水,shuǐ,てろ,テロ
tenpo,時,shí=時,てんぽ,テンポ
toki,言,yán=言,とき,トキ
tomo,家,jiā,とも,トモ
tu,二,èr,とぅ,トゥ
unpa,性,xìng,うんぱ,ウンパ
uta,口,kǒu,うた,ウタ
utala,戰,zhàn,うたら,ウタラ
walo,白,bái,わろ,ワロ
wan,一,yī,わん,ワン
waso,鳥,niǎo,わそ,ワソ
wawa,力,lì=力,わわ,ワワ
weka,脫,tuō,うぇか,ウェカ
wile,要,yào=要,うぃれ,ウィレ
kin,又,yòu=又,きん,キン
namako,鹽,yán=鹽,なまこ,ナマコ
oko,目,mù,おこ,オコ
epiku,傳,chuán,えぴく,エピク
jasima,反,fǎn,やしま,ヤシマ
kijetesantakalu,鼬,yòu=鼬,きいぇてさんたかる,キイェテサンタカル
kipisi,分,fēn,きぴし,キピシ
kokosila,鱷,è=鱷,ここしら,ココシラ
ku,叴,qiú,く,ク
lanpan,盜,dào=盜,らんぱん,ランパン
leko,甓,pì,れこ,レコ
meso,中,zhōng=中,めそ,メソ
misikeke,藥,yào=藥,みしけけ,ミシケケ
monsuta,鬼,guǐ,もんすた,モンスタ
n,諾,nuò,ん,ン
soko,蕈,xùn,そこ,ソコ
tonsi,志,zhì,とんし,トンシ
